indicator,type,source
malware-example.com,domain,academic_demo_feed
phishing-login-security.com,domain,academic_demo_feed
evil-update.net,domain,academic_demo_feed
credential-steal.org,domain,academic_demo_feed
bad-domain.example,domain,academic_demo_feed
http://malware-example.com/payload,url,academic_demo_feed
https://phishing-login-security.com/login,url,academic_demo_feed
185.199.110.10,ip,academic_demo_feed
45.76.120.44,ip,academic_demo_feed
203.0.113.55,ip,academic_demo_feed
a3f2d8c1b7e9f0a1c2d3e4f5a6b7c8d9,hash,academic_demo_feed
9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08,hash,academic_demo_feed
